	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 2
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 3
	Token Name: NAME 	Lexeme: int1 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: int2 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 3
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 4
	Token Name: NAME 	Lexeme: float1 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 4
	Token Name: BOOL 	Lexeme: bool 	 Lineno: 5
	Token Name: NAME 	Lexeme: bool1 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: READ 	Lexeme: read 	 Lineno: 6
	Token Name: NAME 	Lexeme: int2 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: NAME 	Lexeme: int1 	 Lineno: 7
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 7
	Token Name: NUM 	Lexeme: 1234567890 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: int2 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: NUM 	Lexeme: 252378550009 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 9
