	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: a 	 Lineno: 1
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 1
	Token Name: NAME 	Lexeme: b 	 Lineno: 1
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 1
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 2
	Token Name: NAME 	Lexeme: c 	 Lineno: 2
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 2
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 4
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 5
	Token Name: NAME 	Lexeme: d 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 6
	Token Name: NAME 	Lexeme: a 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 7
	Token Name: NAME 	Lexeme: b 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: BOOL 	Lexeme: bool 	 Lineno: 8
	Token Name: NAME 	Lexeme: bo 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: STRING 	Lexeme: string 	 Lineno: 9
	Token Name: NAME 	Lexeme: s 	 Lineno: 9
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 9
	Token Name: NAME 	Lexeme: bo 	 Lineno: 10
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 10
	Token Name: NAME 	Lexeme: true 	 Lineno: 10
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 10
	Token Name: NAME 	Lexeme: d 	 Lineno: 11
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 11
	Token Name: NUM 	Lexeme: 20 	 Lineno: 11
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 11
	Token Name: NAME 	Lexeme: a 	 Lineno: 12
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 12
	Token Name: FNUM 	Lexeme: 2.1 	 Lineno: 12
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 12
	Token Name: NAME 	Lexeme: b 	 Lineno: 13
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 13
	Token Name: FNUM 	Lexeme: 12.3 	 Lineno: 13
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 13
	Token Name: WRITE 	Lexeme: print 	 Lineno: 14
	Token Name: NAME 	Lexeme: d 	 Lineno: 14
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 14
	Token Name: WRITE 	Lexeme: print 	 Lineno: 15
	Token Name: NAME 	Lexeme: a 	 Lineno: 15
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 15
	Token Name: NAME 	Lexeme: s 	 Lineno: 16
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 16
	Token Name: STR_CONST 	Lexeme: "hello world" 	 Lineno: 16
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 16
	Token Name: WRITE 	Lexeme: print 	 Lineno: 17
	Token Name: NAME 	Lexeme: s 	 Lineno: 17
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 17
	Token Name: WRITE 	Lexeme: print 	 Lineno: 18
	Token Name: NAME 	Lexeme: bo 	 Lineno: 18
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 18
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 19
