	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 2
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 3
	Token Name: NAME 	Lexeme: a 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: b 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 3
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 4
	Token Name: NAME 	Lexeme: d 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 4
	Token Name: STRING 	Lexeme: string 	 Lineno: 5
	Token Name: NAME 	Lexeme: s1 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 5
	Token Name: NAME 	Lexeme: s2 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: BOOL 	Lexeme: bool 	 Lineno: 6
	Token Name: NAME 	Lexeme: b1 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 6
	Token Name: NAME 	Lexeme: b2 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: NAME 	Lexeme: a 	 Lineno: 7
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 7
	Token Name: FNUM 	Lexeme: 00000.0000000 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: b 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: MINUS 	Lexeme: - 	 Lineno: 8
	Token Name: FNUM 	Lexeme: 400001.3333300 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: c 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: PLUS 	Lexeme: + 	 Lineno: 9
	Token Name: NAME 	Lexeme: a 	 Lineno: 9
	Token Name: MINUS 	Lexeme: - 	 Lineno: 9
	Token Name: NAME 	Lexeme: b 	 Lineno: 9
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 9
	Token Name: NAME 	Lexeme: s1 	 Lineno: 10
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 10
	Token Name: STR_CONST 	Lexeme: "he llo" 	 Lineno: 10
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 10
	Token Name: NAME 	Lexeme: s2 	 Lineno: 11
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 11
	Token Name: NAME 	Lexeme: s2 	 Lineno: 11
	Token Name: PLUS 	Lexeme: + 	 Lineno: 11
	Token Name: NAME 	Lexeme: s1 	 Lineno: 11
	Token Name: PLUS 	Lexeme: + 	 Lineno: 11
	Token Name: STR_CONST 	Lexeme: "hello" 	 Lineno: 11
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 11
	Token Name: NAME 	Lexeme: b1 	 Lineno: 12
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 12
	Token Name: NAME 	Lexeme: b2 	 Lineno: 12
	Token Name: PLUS 	Lexeme: + 	 Lineno: 12
	Token Name: NAME 	Lexeme: a 	 Lineno: 12
	Token Name: MINUS 	Lexeme: - 	 Lineno: 12
	Token Name: NAME 	Lexeme: b 	 Lineno: 12
	Token Name: MULT 	Lexeme: * 	 Lineno: 12
	Token Name: NAME 	Lexeme: c 	 Lineno: 12
	Token Name: DIV 	Lexeme: / 	 Lineno: 12
	Token Name: NAME 	Lexeme: d 	 Lineno: 12
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 12
	Token Name: WRITE 	Lexeme: print 	 Lineno: 13
	Token Name: NAME 	Lexeme: b1 	 Lineno: 13
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 13
	Token Name: READ 	Lexeme: read 	 Lineno: 14
	Token Name: NAME 	Lexeme: b1 	 Lineno: 14
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 14
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 15
