	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: abcNnjdNCHsfFZHFnfsjN 	 Lineno: 1
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 1
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 2
	Token Name: NAME 	Lexeme: CADHFMSBHAKFKKSRR 	 Lineno: 2
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 2
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 4
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 5
	Token Name: NAME 	Lexeme: dfsssmbfbbbbddfxsssafs 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 6
	Token Name: NAME 	Lexeme: aznnN77776Fdnz 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: STRING 	Lexeme: string 	 Lineno: 7
	Token Name: NAME 	Lexeme: s 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: READ 	Lexeme: read 	 Lineno: 8
	Token Name: NAME 	Lexeme: aznnN77776Fdnz 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: s 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: STR_CONST 	Lexeme: "welcome to cs 316" 	 Lineno: 9
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 9
	Token Name: WRITE 	Lexeme: print 	 Lineno: 10
	Token Name: NAME 	Lexeme: s 	 Lineno: 10
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 10
	Token Name: READ 	Lexeme: read 	 Lineno: 11
	Token Name: NAME 	Lexeme: s 	 Lineno: 11
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 11
	Token Name: NAME 	Lexeme: CADHFMSBHAKFKKSRR 	 Lineno: 12
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 12
	Token Name: NAME 	Lexeme: s 	 Lineno: 12
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 12
	Token Name: WRITE 	Lexeme: print 	 Lineno: 13
	Token Name: NAME 	Lexeme: aznnN77776Fdnz 	 Lineno: 13
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 13
	Token Name: WRITE 	Lexeme: print 	 Lineno: 14
	Token Name: NAME 	Lexeme: CADHFMSBHAKFKKSRR 	 Lineno: 14
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 14
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 15
