	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 1
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 2
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 3
	Token Name: NAME 	Lexeme: a 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: b 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: c 	 Lineno: 3
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 3
	Token Name: STRING 	Lexeme: string 	 Lineno: 4
	Token Name: NAME 	Lexeme: s 	 Lineno: 4
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 4
	Token Name: READ 	Lexeme: read 	 Lineno: 5
	Token Name: NAME 	Lexeme: s 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: WRITE 	Lexeme: print 	 Lineno: 6
	Token Name: NAME 	Lexeme: s 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: NAME 	Lexeme: s 	 Lineno: 7
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 7
	Token Name: STR_CONST 	Lexeme: "correct" 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: a 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: FNUM 	Lexeme: 0.333333 	 Lineno: 8
	Token Name: PLUS 	Lexeme: + 	 Lineno: 8
	Token Name: NAME 	Lexeme: s 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: c 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: NAME 	Lexeme: a 	 Lineno: 9
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 9
	Token Name: NAME 	Lexeme: c 	 Lineno: 10
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 10
	Token Name: MINUS 	Lexeme: - 	 Lineno: 10
	Token Name: FNUM 	Lexeme: 1.333333 	 Lineno: 10
	Token Name: PLUS 	Lexeme: + 	 Lineno: 10
	Token Name: NAME 	Lexeme: s 	 Lineno: 10
	Token Name: MINUS 	Lexeme: - 	 Lineno: 10
	Token Name: NAME 	Lexeme: s 	 Lineno: 10
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 10
	Token Name: NAME 	Lexeme: b 	 Lineno: 11
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 11
	Token Name: NAME 	Lexeme: c 	 Lineno: 11
	Token Name: MULT 	Lexeme: * 	 Lineno: 11
	Token Name: NAME 	Lexeme: s 	 Lineno: 11
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 11
	Token Name: WRITE 	Lexeme: print 	 Lineno: 12
	Token Name: NAME 	Lexeme: b 	 Lineno: 12
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 12
	Token Name: WRITE 	Lexeme: print 	 Lineno: 13
	Token Name: NAME 	Lexeme: c 	 Lineno: 13
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 13
	Token Name: WRITE 	Lexeme: print 	 Lineno: 14
	Token Name: NAME 	Lexeme: s 	 Lineno: 14
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 14
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 15
