	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: A980njDnSfn42865bfsh88860 	 Lineno: 1
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 1
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 2
	Token Name: NAME 	Lexeme: c____HkfmszzzkzDsH___ 	 Lineno: 2
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 2
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: ( 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: ) 	 Lineno: 3
	Token Name: DELIMITERS 	Lexeme: { 	 Lineno: 4
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 5
	Token Name: NAME 	Lexeme: a774882776__________ 	 Lineno: 5
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 5
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 6
	Token Name: NAME 	Lexeme: ______ 	 Lineno: 6
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 6
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 7
	Token Name: NAME 	Lexeme: B_n_X_8_0_8_7_7_ 	 Lineno: 7
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 7
	Token Name: READ 	Lexeme: read 	 Lineno: 8
	Token Name: NAME 	Lexeme: a774882776__________ 	 Lineno: 8
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 8
	Token Name: NAME 	Lexeme: ______ 	 Lineno: 9
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 9
	Token Name: NAME 	Lexeme: a774882776__________ 	 Lineno: 9
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 9
	Token Name: WRITE 	Lexeme: print 	 Lineno: 10
	Token Name: NAME 	Lexeme: ______ 	 Lineno: 10
	Token Name: PUNCTUATION 	Lexeme: ; 	 Lineno: 10
	Token Name: DELIMITERS 	Lexeme: } 	 Lineno: 11
